id,name,state,created_at,updated_at,url,tags,config.conv.type,config.data.dataset_name,config.data.context_length,config.data.dataset_config,config.data.val_token_limit,config.data.train_token_limit,config.data.eval_context_lengths,config.seed,config.model.d_model,config.model.dropout,config.model.n_heads,config.model.n_layers,config.model.attention.type,config.model.attention.block_size,config.model.attention.window_size,config.model.attention.num_kv_heads,config.model.vocab_size,config.model.max_seq_len,config.model.ff_multiplier,config.logging.wandb.tags,config.logging.wandb.group,config.logging.wandb.enable,config.logging.wandb.entity,config.logging.wandb.project,config.trainer.use_amp,config.trainer.grad_clip,config.trainer.max_steps,config.trainer.batch_size,config.trainer.num_workers,config.trainer.eval_batches,config.trainer.warmup_steps,config.trainer.weight_decay,config.trainer.eval_interval,config.trainer.learning_rate,config.experiment.name,config.pos_encoding.type,summary._runtime,summary._wandb,config.conv.kernel_size,summary._step,summary._timestamp,summary.optim/lr,summary.step,summary.system/peak_gpu_mem_gb,summary.system/tokens_per_sec,summary.train/loss,summary.val/loss,summary.val/perplexity,config.pos_encoding.max_relative_positions,config.conv.replace_layers,config.trainer.checkpoint_interval,summary.extrap/loss_L1024,summary.extrap/loss_L2048,summary.extrap/loss_L512,summary.extrap/ppl_L1024,summary.extrap/ppl_L2048,summary.extrap/ppl_L512,config.trainer.inference_benchmark_batches,summary.stability/grad_norm,summary.stability/train_loss_is_finite,summary.stability/val_loss_is_finite,summary.system/inference_tokens_per_sec,summary.system/sec_per_virtual_epoch,summary.system/virtual_epoch,config.model.attention.linear_chunk_size,summary.val/best_loss,summary.val/best_perplexity,summary.val/best_step,config.resume,config.model.attention.linear_feature_eps,config.model.attention.linear_output_clip,config.model.attention.aft_variant,config.model.attention.aft_chunk_size
m2of8q0o,coreml_p2_mqa_ctx512,finished,2026-04-16T12:51:29Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/m2of8q0o,,none,wikitext,512,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,mqa,64,256,1,50257,4096,4,[],,True,,saidl-core-ml,True,1,1200,8,2,40,100,0.01,100,0.0003,coreml_p2_mqa_ctx512,absolute,238.0,{'runtime': 238},3.0,12.0,1776344127.5865395,3.0000550576730773e-05,1200.0,3.628926277160645,22671.426656473992,8.689573287963867,7.733029675483704,2282.506991341487,,,,,,,,,,,,,,,,,,,,,,,,,
4o5t6prp,coreml_p2_mqa_ctx1024,finished,2026-04-16T12:56:53Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/4o5t6prp,,none,wikitext,1024,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,mqa,64,256,1,50257,4096,4,[],,True,,saidl-core-ml,True,1,1200,4,2,40,100,0.01,100,0.0003,coreml_p2_mqa_ctx1024,absolute,273.0,{'runtime': 273},3.0,12.0,1776344487.082071,3.0000550576730773e-05,1200.0,4.122005939483643,19560.086064920168,9.22734260559082,7.831825160980225,2519.5237158113086,,,,,,,,,,,,,,,,,,,,,,,,,
9bkvyor5,coreml_p2_mqa_ctx2048,finished,2026-04-16T13:02:39Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/9bkvyor5,,none,wikitext,2048,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,mqa,64,256,1,50257,4096,4,[],,True,,saidl-core-ml,True,1,900,2,2,40,100,0.01,100,0.0003,coreml_p2_mqa_ctx2048,absolute,270.0,{'runtime': 270},3.0,9.0,1776344830.9722695,3.000104093350147e-05,900.0,5.124935626983643,14882.034221054557,9.39531421661377,9.17307105064392,9634.16631754908,,,,,,,,,,,,,,,,,,,,,,,,,
67dghzj8,coreml_p2_mqa_ctx4096,finished,2026-04-16T13:07:28Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/67dghzj8,,none,wikitext,4096,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,mqa,64,256,1,50257,4096,4,[],,True,,saidl-core-ml,True,1,600,1,2,40,100,0.01,100,0.0003,coreml_p2_mqa_ctx4096,absolute,257.0,{'runtime': 257},3.0,6.0,1776345106.542287,3.000266478442149e-05,600.0,7.134594440460205,10528.862713813394,12.289436340332031,12.011855173110964,164695.7601734528,,,,,,,,,,,,,,,,,,,,,,,,,
7v9kditm,coreml_p2_gqa_ctx512,finished,2026-04-16T13:13:09Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/7v9kditm,,none,wikitext,512,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,gqa,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,1200,8,2,40,100,0.01,100,0.0003,coreml_p2_gqa_ctx512,absolute,239.0,{'runtime': 239},3.0,12.0,1776345429.689925,3.0000550576730773e-05,1200.0,3.6308183670043945,22530.48060392482,9.031692504882812,8.068795168399811,3193.252179320184,,,,,,,,,,,,,,,,,,,,,,,,,
0j8fjzpy,coreml_p2_gqa_ctx1024,finished,2026-04-16T13:17:41Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/0j8fjzpy,,none,wikitext,1024,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,gqa,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,1200,4,2,40,100,0.01,100,0.0003,coreml_p2_gqa_ctx1024,absolute,275.0,{'runtime': 275},3.0,12.0,1776345737.2538018,3.0000550576730773e-05,1200.0,4.124256610870361,19398.793319812055,9.461236953735352,7.901559257507325,2701.4913666227812,,,,,,,,,,,,,,,,,,,,,,,,,
fee95lyq,coreml_p2_gqa_ctx2048,finished,2026-04-16T13:22:33Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/fee95lyq,,none,wikitext,2048,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,gqa,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,900,2,2,40,100,0.01,100,0.0003,coreml_p2_gqa_ctx2048,absolute,272.0,{'runtime': 272},3.0,9.0,1776346025.939329,3.000104093350147e-05,900.0,5.134029865264893,14791.828908915368,10.601707458496094,9.572543692588804,14364.909804968003,,,,,,,,,,,,,,,,,,,,,,,,,
xqjv5ysy,coreml_p2_gqa_ctx4096,finished,2026-04-16T13:27:20Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/xqjv5ysy,,none,wikitext,4096,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,gqa,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,600,1,2,40,100,0.01,100,0.0003,coreml_p2_gqa_ctx4096,absolute,259.0,{'runtime': 259},3.0,6.0,1776346300.2482042,3.000266478442149e-05,600.0,7.168346881866455,10465.9207434033,13.096622467041016,11.907513427734376,148377.26953500672,,,,,,,,,,,,,,,,,,,,,,,,,
8lm5qslk,coreml_p2_softmax_free_ctx512,finished,2026-04-16T13:32:25Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/8lm5qslk,,none,wikitext,512,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,softmax_free,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,1200,8,2,40,100,0.01,100,0.0003,coreml_p2_softmax_free_ctx512,absolute,265.0,{'runtime': 265},3.0,12.0,1776346610.7875717,3.0000550576730773e-05,1200.0,3.505242347717285,20206.220319995045,9.026965141296388,8.059897148609162,3164.9645966057624,,,,,,,,,,,,,,,,,,,,,,,,,
i2bgd8hl,coreml_p2_softmax_free_ctx1024,finished,2026-04-16T13:37:05Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/i2bgd8hl,,none,wikitext,1024,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,softmax_free,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,1200,4,2,40,100,0.01,100,0.0003,coreml_p2_softmax_free_ctx1024,absolute,319.0,{'runtime': 319},3.0,12.0,1776346945.5627513,3.0000550576730773e-05,1200.0,3.8597660064697266,16560.545174599305,9.59703540802002,8.004399847984313,2994.1026450756713,,,,,,,,,,,,,,,,,,,,,,,,,
