suite,run_name,run_id,workdir,command,wandb_url,notes
rl,rl_p1_tr_L32_seed42,tc91exur,rl,python src/train.py experiment.name=rl_p1_tr_L32_seed42 agent=td3_transformer env=hopper_full seed=42 agent.actor.context_length=32 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000 +resume=/kaggle/input/datasets/krish247/check-1/SAiDL_Assignment/rl/ckpt_latest_rl.pt,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/tc91exur,Part 1 | Transformer TD3 sweep | mild deterioration
rl,rl_p2_hidden_vel_mlp_seed42,96m7x5eb,rl,python src/train.py experiment.name=rl_p2_hidden_vel_mlp_seed42 agent=td3_mlp env=hopper_hidden_vel seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000 +resume=/kaggle/input/datasets/kkk7777/rl-output/SAiDL_Assignment/rl/ckpt_latest_rl.pt,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/96m7x5eb,Part 2a | Hidden velocities | late deterioration
rl,rl_p2_hidden_vel_tr_seed42,4hl8amlc,rl,python src/train.py experiment.name=rl_p2_hidden_vel_tr_seed42 agent=td3_transformer env=hopper_hidden_vel seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/4hl8amlc,Part 2a | Hidden velocities | late deterioration
rl,rl_p2_noise01_mlp_seed42,lgmxbqai,rl,python src/train.py experiment.name=rl_p2_noise01_mlp_seed42 agent=td3_mlp env=hopper_noisy env.noise_sigma=0.1 seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/lgmxbqai,Part 2b | Observation noise | stable
rl,rl_p2_noise01_tr_seed42,3lt7il9g,rl,python src/train.py experiment.name=rl_p2_noise01_tr_seed42 agent=td3_transformer env=hopper_noisy env.noise_sigma=0.1 seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000 +resume=/kaggle/input/datasets/kkk7777/rl-output/SAiDL_Assignment/rl/ckpt_latest_rl.pt,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/3lt7il9g,Part 2b | Observation noise | stable
rl,rl_p2_noise03_mlp_seed42,anlzqstp,rl,python src/train.py experiment.name=rl_p2_noise03_mlp_seed42 agent=td3_mlp env=hopper_noisy env.noise_sigma=0.3 seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/anlzqstp,Part 2b | Observation noise | stable
rl,rl_p2_noise03_tr_seed42,f4lc5xjg,rl,python src/train.py experiment.name=rl_p2_noise03_tr_seed42 agent=td3_transformer env=hopper_noisy env.noise_sigma=0.3 seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000 +resume=/kaggle/input/datasets/kkk7777/rl-output/SAiDL_Assignment/rl/ckpt_latest_rl.pt,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/f4lc5xjg,Part 2b | Observation noise | stable
rl,rl_p2_delay10_mlp_seed42,523e0uha,rl,python src/train.py experiment.name=rl_p2_delay10_mlp_seed42 agent=td3_mlp env=hopper_delayed env.delay_k=10 seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/523e0uha,Part 2c | Delayed rewards | mild deterioration
rl,rl_p2_delay10_tr_seed42,hfiawzrg,rl,python src/train.py experiment.name=rl_p2_delay10_tr_seed42 agent=td3_transformer env=hopper_delayed env.delay_k=10 seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/hfiawzrg,Part 2c | Delayed rewards | mild deterioration
rl,rl_p2_delay30_mlp_seed42,15bzu83r,rl,python src/train.py experiment.name=rl_p2_delay30_mlp_seed42 agent=td3_mlp env=hopper_delayed env.delay_k=30 seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/15bzu83r,Part 2c | Delayed rewards | late deterioration
rl,rl_p2_delay30_tr_seed42,kkdfxotj,rl,python src/train.py experiment.name=rl_p2_delay30_tr_seed42 agent=td3_transformer env=hopper_delayed env.delay_k=30 seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000 +resume=/kaggle/input/datasets/kacsav/rl-output/SAiDL_Assignment/rl/ckpt_latest_rl.pt,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/kkdfxotj,Part 2c | Delayed rewards | stable
rl,rl_p2_rlhf_tr_seed42,rvckskwt,rl,python src/train.py experiment.name=rl_p2_rlhf_tr_seed42 agent=td3_transformer env=hopper_full seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] agent.actor.context_length=8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/rvckskwt,Part 2d | RLHF reward model | late deterioration
rl,rl_p3_attn_support_full_seed42,78e2wcm0,rl,python src/train.py experiment.name=rl_p3_attn_support_full_seed42 agent=td3_transformer env=hopper_full seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000 +resume=/kaggle/input/datasets/kacsav/rl-output/SAiDL_Assignment/rl/ckpt_latest_rl.pt,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/78e2wcm0,Part 3 | Attention support rollout | stable
rl,rl_p3_attn_support_hidden_seed42,lwsokb8n,rl,python src/train.py experiment.name=rl_p3_attn_support_hidden_seed42 agent=td3_transformer env=hopper_hidden_vel seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/lwsokb8n,Part 3 | Attention support rollout | late deterioration
